	model	constr	-gap effect	+gap effect	effectDifference	-gap direction	+gap direction	term	estimate	p_value	sig	estimateDirection
0	baseline	eval_cleft	0.198	-1.247	1.445	p	n	filler:gap:island	0.442	0.000	***	p
1	baseline	eval_intro_topic	0.259	0.180	0.079	p	p	filler:gap:island	0.071	0.005	**	p
2	baseline	eval_nointro_topic	0.108	0.660	0.551	p	p	filler:gap:island	-0.018	0.701		n
3	baseline	eval_tough	1.567	-1.277	2.845	p	n	filler:gap:island	0.007	0.846		p
4	baseline	eval_wh	0.789	-1.029	1.817	p	n	filler:gap:island	0.076	0.580		p
5	model_1_1	eval_cleft	0.085	-0.737	0.822	p	n	filler:gap:island	0.666	0.000	***	p
6	model_1_1	eval_intro_topic	0.247	-0.003	0.250	p	n	filler:gap:island	0.112	0.000	***	p
7	model_1_1	eval_nointro_topic	0.305	-0.013	0.318	p	n	filler:gap:island	0.130	0.012	*	p
8	model_1_1	eval_tough	0.322	-0.395	0.717	p	n	filler:gap:island	0.782	0.000	***	p
9	model_1_1	eval_wh	1.310	-0.890	2.200	p	n	filler:gap:island	0.142	0.408		p
10	model_2_2	eval_cleft	1.437	-0.140	1.577	p	n	filler:gap:island	0.533	0.000	***	p
11	model_2_2	eval_intro_topic	1.250	0.273	0.977	p	p	filler:gap:island	0.651	0.000	***	p
12	model_2_2	eval_nointro_topic	0.918	0.105	0.814	p	p	filler:gap:island	0.671	0.000	***	p
13	model_2_2	eval_tough	2.345	-3.616	5.961	p	n	filler:gap:island	0.407	0.000	***	p
14	model_2_2	eval_wh	0.429	-2.896	3.325	p	n	filler:gap:island	0.062	0.748		p
15	model_1_2	eval_cleft	-3.908	-1.222	2.686	n	n	filler:gap:island	0.430	0.000	***	p
16	model_1_2	eval_intro_topic	-1.516	-0.099	1.416	n	n	filler:gap:island	0.393	0.000	***	p
17	model_1_2	eval_nointro_topic	-0.722	-0.632	0.090	n	n	filler:gap:island	0.107	0.126		p
18	model_1_2	eval_tough	-0.277	-0.528	0.251	n	n	filler:gap:island	0.557	0.000	***	p
19	model_1_2	eval_wh	-0.941	-1.525	0.584	n	n	filler:gap:island	0.046	0.802		p
20	model_2_1	eval_cleft	2.099	-0.190	2.289	p	n	filler:gap:island	1.127	0.000	***	p
21	model_2_1	eval_intro_topic	0.105	0.110	0.004	p	p	filler:gap:island	0.285	0.000	***	p
22	model_2_1	eval_nointro_topic	0.282	-0.206	0.488	p	n	filler:gap:island	0.183	0.001	***	p
23	model_2_1	eval_tough	0.801	1.837	1.036	p	p	filler:gap:island	0.763	0.000	***	p
24	model_2_1	eval_wh	0.216	-0.668	0.884	p	n	filler:gap:island	0.097	0.608		p
