model	constr	group	gap	island	effect
baseline	eval_cleft	0	-1	-1	2.8671875
baseline	eval_cleft	0	-1	1	-1.95703125
baseline	eval_cleft	0	1	-1	-4.71875
baseline	eval_cleft	0	1	1	-1.5625
baseline	eval_cleft	1	-1	-1	2.8671875
baseline	eval_cleft	1	-1	1	-1.95703125
baseline	eval_cleft	1	1	-1	-4.90625
baseline	eval_cleft	1	1	1	-2.1875
baseline	eval_cleft	2	-1	-1	2.8671875
baseline	eval_cleft	2	-1	1	-1.95703125
baseline	eval_cleft	2	1	-1	-4.90625
baseline	eval_cleft	2	1	1	-2.5
baseline	eval_cleft	3	-1	-1	3.40625
baseline	eval_cleft	3	-1	1	-0.59375
baseline	eval_cleft	3	1	-1	-4.71875
baseline	eval_cleft	3	1	1	-1.5625
baseline	eval_cleft	4	-1	-1	3.40625
baseline	eval_cleft	4	-1	1	-0.59375
baseline	eval_cleft	4	1	-1	-4.90625
baseline	eval_cleft	4	1	1	-2.1875
baseline	eval_cleft	5	-1	-1	3.40625
baseline	eval_cleft	5	-1	1	-0.59375
baseline	eval_cleft	5	1	-1	-4.90625
baseline	eval_cleft	5	1	1	-2.5
baseline	eval_cleft	6	-1	-1	2.9375
baseline	eval_cleft	6	-1	1	-0.6875
baseline	eval_cleft	6	1	-1	-4.71875
baseline	eval_cleft	6	1	1	-1.5625
baseline	eval_cleft	7	-1	-1	2.9375
baseline	eval_cleft	7	-1	1	-0.6875
baseline	eval_cleft	7	1	-1	-4.90625
baseline	eval_cleft	7	1	1	-2.1875
baseline	eval_cleft	8	-1	-1	2.9375
baseline	eval_cleft	8	-1	1	-0.6875
baseline	eval_cleft	8	1	-1	-4.90625
baseline	eval_cleft	8	1	1	-2.5
baseline	eval_cleft	9	-1	-1	-1.8046875
baseline	eval_cleft	9	-1	1	-2.34765625
baseline	eval_cleft	9	1	-1	-2.4375
baseline	eval_cleft	9	1	1	-1.75
baseline	eval_cleft	10	-1	-1	-1.8046875
baseline	eval_cleft	10	-1	1	-2.34765625
baseline	eval_cleft	10	1	-1	-2.375
baseline	eval_cleft	10	1	1	-2.25
baseline	eval_cleft	11	-1	-1	-1.8046875
baseline	eval_cleft	11	-1	1	-2.34765625
baseline	eval_cleft	11	1	-1	-3.71875
baseline	eval_cleft	11	1	1	-3.0
baseline	eval_cleft	12	-1	-1	-0.6875
baseline	eval_cleft	12	-1	1	-3.0
baseline	eval_cleft	12	1	-1	-2.4375
baseline	eval_cleft	12	1	1	-1.75
baseline	eval_cleft	13	-1	-1	-0.6875
baseline	eval_cleft	13	-1	1	-3.0
baseline	eval_cleft	13	1	-1	-2.375
baseline	eval_cleft	13	1	1	-2.25
baseline	eval_cleft	14	-1	-1	-0.6875
baseline	eval_cleft	14	-1	1	-3.0
baseline	eval_cleft	14	1	-1	-3.71875
baseline	eval_cleft	14	1	1	-3.0
baseline	eval_cleft	15	-1	-1	-1.65625
baseline	eval_cleft	15	-1	1	-1.4375
baseline	eval_cleft	15	1	-1	-2.4375
baseline	eval_cleft	15	1	1	-1.75
baseline	eval_cleft	16	-1	-1	-1.65625
baseline	eval_cleft	16	-1	1	-1.4375
baseline	eval_cleft	16	1	-1	-2.375
baseline	eval_cleft	16	1	1	-2.25
baseline	eval_cleft	17	-1	-1	-1.65625
baseline	eval_cleft	17	-1	1	-1.4375
baseline	eval_cleft	17	1	-1	-3.71875
baseline	eval_cleft	17	1	1	-3.0
baseline	eval_cleft	18	-1	-1	0.59375
baseline	eval_cleft	18	-1	1	-1.69140625
baseline	eval_cleft	18	1	-1	-0.46875
baseline	eval_cleft	18	1	1	-0.0625
baseline	eval_cleft	19	-1	-1	0.59375
baseline	eval_cleft	19	-1	1	-1.69140625
baseline	eval_cleft	19	1	-1	0.0625
baseline	eval_cleft	19	1	1	-0.875
baseline	eval_cleft	20	-1	-1	0.59375
baseline	eval_cleft	20	-1	1	-1.69140625
baseline	eval_cleft	20	1	-1	-1.84375
baseline	eval_cleft	20	1	1	-1.1875
baseline	eval_cleft	21	-1	-1	1.6875
baseline	eval_cleft	21	-1	1	-0.0625
baseline	eval_cleft	21	1	-1	-0.46875
baseline	eval_cleft	21	1	1	-0.0625
baseline	eval_cleft	22	-1	-1	1.6875
baseline	eval_cleft	22	-1	1	-0.0625
baseline	eval_cleft	22	1	-1	0.0625
baseline	eval_cleft	22	1	1	-0.875
baseline	eval_cleft	23	-1	-1	1.6875
baseline	eval_cleft	23	-1	1	-0.0625
baseline	eval_cleft	23	1	-1	-1.84375
baseline	eval_cleft	23	1	1	-1.1875
baseline	eval_cleft	24	-1	-1	0.5
baseline	eval_cleft	24	-1	1	1.375
baseline	eval_cleft	24	1	-1	-0.46875
baseline	eval_cleft	24	1	1	-0.0625
baseline	eval_cleft	25	-1	-1	0.5
baseline	eval_cleft	25	-1	1	1.375
baseline	eval_cleft	25	1	-1	0.0625
baseline	eval_cleft	25	1	1	-0.875
baseline	eval_cleft	26	-1	-1	0.5
baseline	eval_cleft	26	-1	1	1.375
baseline	eval_cleft	26	1	-1	-1.84375
baseline	eval_cleft	26	1	1	-1.1875
baseline	eval_cleft	27	-1	-1	1.3359375
baseline	eval_cleft	27	-1	1	-2.4296875
baseline	eval_cleft	27	1	-1	-3.84375
baseline	eval_cleft	27	1	1	-1.4375
baseline	eval_cleft	28	-1	-1	1.3359375
baseline	eval_cleft	28	-1	1	-2.4296875
baseline	eval_cleft	28	1	-1	-4.28125
baseline	eval_cleft	28	1	1	-1.25
baseline	eval_cleft	29	-1	-1	1.3359375
baseline	eval_cleft	29	-1	1	-2.4296875
baseline	eval_cleft	29	1	-1	-4.34375
baseline	eval_cleft	29	1	1	-0.5625
baseline	eval_cleft	30	-1	-1	5.34375
baseline	eval_cleft	30	-1	1	1.5
baseline	eval_cleft	30	1	-1	-3.84375
baseline	eval_cleft	30	1	1	-1.4375
baseline	eval_cleft	31	-1	-1	5.34375
baseline	eval_cleft	31	-1	1	1.5
baseline	eval_cleft	31	1	-1	-4.28125
baseline	eval_cleft	31	1	1	-1.25
baseline	eval_cleft	32	-1	-1	5.34375
baseline	eval_cleft	32	-1	1	1.5
baseline	eval_cleft	32	1	-1	-4.34375
baseline	eval_cleft	32	1	1	-0.5625
baseline	eval_cleft	33	-1	-1	2.6875
baseline	eval_cleft	33	-1	1	0.75
baseline	eval_cleft	33	1	-1	-3.84375
baseline	eval_cleft	33	1	1	-1.4375
baseline	eval_cleft	34	-1	-1	2.6875
baseline	eval_cleft	34	-1	1	0.75
baseline	eval_cleft	34	1	-1	-4.28125
baseline	eval_cleft	34	1	1	-1.25
baseline	eval_cleft	35	-1	-1	2.6875
baseline	eval_cleft	35	-1	1	0.75
baseline	eval_cleft	35	1	-1	-4.34375
baseline	eval_cleft	35	1	1	-0.5625
baseline	eval_cleft	36	-1	-1	0.234375
baseline	eval_cleft	36	-1	1	-1.859375
baseline	eval_cleft	36	1	-1	-0.5625
baseline	eval_cleft	36	1	1	-0.75
baseline	eval_cleft	37	-1	-1	0.234375
baseline	eval_cleft	37	-1	1	-1.859375
baseline	eval_cleft	37	1	-1	-2.90625
baseline	eval_cleft	37	1	1	-1.3125
baseline	eval_cleft	38	-1	-1	0.234375
baseline	eval_cleft	38	-1	1	-1.859375
baseline	eval_cleft	38	1	-1	-3.90625
baseline	eval_cleft	38	1	1	-1.0625
baseline	eval_cleft	39	-1	-1	3.21875
baseline	eval_cleft	39	-1	1	2.375
baseline	eval_cleft	39	1	-1	-0.5625
baseline	eval_cleft	39	1	1	-0.75
baseline	eval_cleft	40	-1	-1	3.21875
baseline	eval_cleft	40	-1	1	2.375
baseline	eval_cleft	40	1	-1	-2.90625
baseline	eval_cleft	40	1	1	-1.3125
baseline	eval_cleft	41	-1	-1	3.21875
baseline	eval_cleft	41	-1	1	2.375
baseline	eval_cleft	41	1	-1	-3.90625
baseline	eval_cleft	41	1	1	-1.0625
baseline	eval_cleft	42	-1	-1	1.125
baseline	eval_cleft	42	-1	1	2.9375
baseline	eval_cleft	42	1	-1	-0.5625
baseline	eval_cleft	42	1	1	-0.75
baseline	eval_cleft	43	-1	-1	1.125
baseline	eval_cleft	43	-1	1	2.9375
baseline	eval_cleft	43	1	-1	-2.90625
baseline	eval_cleft	43	1	1	-1.3125
baseline	eval_cleft	44	-1	-1	1.125
baseline	eval_cleft	44	-1	1	2.9375
baseline	eval_cleft	44	1	-1	-3.90625
baseline	eval_cleft	44	1	1	-1.0625
baseline	eval_cleft	45	-1	-1	1.53125
baseline	eval_cleft	45	-1	1	-1.5703125
baseline	eval_cleft	45	1	-1	-0.15625
baseline	eval_cleft	45	1	1	-0.0625
baseline	eval_cleft	46	-1	-1	1.53125
baseline	eval_cleft	46	-1	1	-1.5703125
baseline	eval_cleft	46	1	-1	-0.3125
baseline	eval_cleft	46	1	1	-0.4375
baseline	eval_cleft	47	-1	-1	1.53125
baseline	eval_cleft	47	-1	1	-1.5703125
baseline	eval_cleft	47	1	-1	-1.90625
baseline	eval_cleft	47	1	1	-0.125
baseline	eval_cleft	48	-1	-1	4.0625
baseline	eval_cleft	48	-1	1	1.84375
baseline	eval_cleft	48	1	-1	-0.15625
baseline	eval_cleft	48	1	1	-0.0625
baseline	eval_cleft	49	-1	-1	4.0625
baseline	eval_cleft	49	-1	1	1.84375
baseline	eval_cleft	49	1	-1	-0.3125
baseline	eval_cleft	49	1	1	-0.4375
baseline	eval_cleft	50	-1	-1	4.0625
baseline	eval_cleft	50	-1	1	1.84375
baseline	eval_cleft	50	1	-1	-1.90625
baseline	eval_cleft	50	1	1	-0.125
baseline	eval_cleft	51	-1	-1	2.5
baseline	eval_cleft	51	-1	1	3.28125
baseline	eval_cleft	51	1	-1	-0.15625
baseline	eval_cleft	51	1	1	-0.0625
baseline	eval_cleft	52	-1	-1	2.5
baseline	eval_cleft	52	-1	1	3.28125
baseline	eval_cleft	52	1	-1	-0.3125
baseline	eval_cleft	52	1	1	-0.4375
baseline	eval_cleft	53	-1	-1	2.5
baseline	eval_cleft	53	-1	1	3.28125
baseline	eval_cleft	53	1	-1	-1.90625
baseline	eval_cleft	53	1	1	-0.125
baseline	eval_cleft	54	-1	-1	3.3984375
baseline	eval_cleft	54	-1	1	-1.96875
baseline	eval_cleft	54	1	-1	-4.90625
baseline	eval_cleft	54	1	1	-1.875
